ID,letter,phrase,type,meaning
244,A,arpa,pop.,"Persona alta y delgada (LCV), mujer flacuchenta y enclenque (JFP) guitarra (JFP), (delinc. y lunf.) cierto hurto de los bolsillos (LCV)."
245,A,a finish,ingl. To a finish,Hasta el final; hasta lo último.
246,A,afilada,lunf.,Conversación amorosa (LCV.) zalamería (JFP.); adulación (JFP.) entrega de un regalo (LCV.); prodigarse (LCV.) prometer lo que no se ha de cumplir (JFP.) .
247,A,amuflador/ra,lunf.,Igual que Mufador/ra.
248,A,arpeo,lunf.,Meter un ladrón carterista los dedos en bolsillos ajenos para sustraer valores; cierto modo de operar de los profesionales del delito (categoría punguistas) (LCV); acto de ejecutar el arpa (JAS).
249,A,a full,ingl.,Con todo.
250,A,afilado/da,pop.,El grado óptimo de preparación para una cosa determinada.
251,A,amuflarse,lunf.,Igual que Mufarse.
252,A,arpista,delinc.,Ladrón de bolsillos.
253,A,a giorno,ital.,A plena luz; al día.
254,A,afilador/ora,lunf.,"El que afila (LCV.), enamoradizo, picaflor, mujeriego, galanteador, flirteador, tenorio (LCV.) adulador (REV.P.), cortesano (LCV.), individuo chismoso que hace más que lo que le corresponde (LCV.) amigo de inmiscuirse en un asunto o negocio (JFP.)."
255,A,amujar,pop.,"Tomar una resolución, decidirse."
256,A,arpon,drog.,Aguja para inyectar drogas tóxicas.
257,A,a la americana,pop.,Pago de un gasto por partes iguales; entre varios.
258,A,afilamento,lunf.,Igual que Afilada (JFP.).
259,A,amurado/da,lunf.,"Preso (AD), encerrado (AD), apresado (LCV), detenido (LCV), encarcelado, aprisionado arrinconado (YAC.) cercado protegido empeñado (AD) abandonado engañado, estafado (JFP) derrotado (YAC.)."
260,A,arquero,futb.,"Jugador que defiende el arco en un equipo de fútbol, defensor de la meta en otros deportes."
261,A,a la bartola,pop.,"Sin cuidado; sin precisión, sin previsión."
262,A,afilamiento,lunf.,"Conversación amorosa (LCV.) conversación abundante en elogios; prodigarse (LCV.) efectuar un regalo (LCV.), afilada (REV.P.)."
263,A,amurador/ra,lunf.,"Guardián, guardiacárcel, policía muy riguroso cuando encuentra un ladrón y lo apresa (LCV) el que hace el cuento del amuro (JFP)."
264,A,arrabalero/ra,pop.,Persona ordinaria en el hablar y vestir.
265,A,a la cabeza,jgo.,"Número que ha obtenido el primer premio en la lotería o quiniela, número al que se ha apostado como ganador."
266,A,afilar,lunf.,"Galantear (G. y P.), amartelar, enamorar (LCV.) adular (REV.P.), prodigarse con el superior (LCV.)  preparar cuidadosamente algo hacer más de lo que se he ordenado o corresponde (LCV.), hacer un regalo (LCV.); trabajo que se le hace a una persona para que largue prenda (JFP.)."
267,A,amurante,lunf.,Igual que Amurador (LCV).
268,A,arramblar,lunf.,"Hurtar, recoger y llevarse codiciosamente todo lo que hay en algún lugar (LCV)."
269,A,a la cola,pop.,Atrás; al final de la fila.
270,A,afilarse,pop.,Prepararse cuidadosamente para algo.
271,A,amurar,lunf.,"Abandonar, dejar sin protección arrestar, detener (LCV), aprisionar (LCV), encarcelar, encerrar (AD) robar, estafar (JFP) engañar (JFP) empeñar (AD), dar una cosa en prenda por un préstamo (AD) arrinconar, cercar (jgo.) en el billar, dejar una de las bolas junto a la banda; (pop.) no pagar una deuda cerrar, clausurar."
272,A,arramplar,lunf.,Igual que Arramblar.
273,A,a la corta o a la larga,pop.,Más temprano o más tarde.
274,A,afilarse las uñas,pop.,Igual que Afilarse.
275,A,amurarse,lunf.,Aproximarse casarse.
276,A,arranayador/ra,lunf.,"Persona que soluciona desacuerdos o malentendidos de otros; persona que se encarga de ""deshacer entuertos"" (LCV)."
277,A,a la criolla,pop.,Sin cumplimientos; sin etiqueta alguna.
278,A,afile,lunf.,"Igual que Afilada (JFP.), momento álgido del engrupimiento (JAS)."
279,A,amure,lunf.,Acto y efecto de Amurar.
280,A,arrancar,pop.,Empezar hacer algo en forma inesperada iniciar la marcha.
281,A,a la dagur,lunf.,Igual que A la guiurda (LCV.).
