ID,NOMBRE,NOMBRE2,LOCALIDAD,DEPARTAMENTO,JURISDICCIÓN,CUE ANEXO,DOMICILIO
2411,ESCUELA RAFAEL NUÑEZ,ESCUELA RAFAEL NUÑEZ,SAN FRANCISCO,SAN JUSTO,CÓRDOBA,140321500,PARAGUAY 1776 CATEDRAL SAN FRANCISCO
2412,ESCUELA RAFAEL OBLIGADO,ESCUELA RAFAEL OBLIGADO,EMBALSE,CALAMUCHITA,CÓRDOBA,140024900,CALLE PUBLICA S/Nº   CAMINO A HOTELES DE U.T.E.
2413,ESCUELA RAFAELA SANCHEZ,ESCUELA RAFAELA SANCHEZ,MANFREDI,RIO SEGUNDO,CÓRDOBA,140018900,ENTRE RIOS 111  MANFREDI - AL LADO OESTE DE FERROCARRIL Y DE RUTA NAC. Nº 9
2414,ESCUELA RAFAELA SANCHEZ DE CALDELARI,ESCUELA RAFAELA SANCHEZ DE CALDELARI,CORDOBA,CAPITAL,CÓRDOBA,140307000,MANUEL ALVAREZ DE LAS CASAS 280 AYACUCHO B° AYACUCHO
2415,ESCUELA RAMON JOSE CARCANO,ESCUELA RAMON JOSE CARCANO,CAÑADA DE LUQUE,TOTORAL,CÓRDOBA,140283200,CALLE PUBLICA S/Nº   CAÑADA DE LUQUE
2416,ESCUELA RAMON LORENZO FALCON (C/ALBERGUE),ESCUELA RAMON LORENZO FALCON (C/ALBERGUE),CINTRA,UNION,CÓRDOBA,140313200,VELEZ SARSFIELD 615  CINTRA
2417,ESCUELA RAUL ANGEL FERREYRA,ESCUELA RAUL ANGEL FERREYRA,CORDOBA,CAPITAL,CÓRDOBA,140332000,CALLE PUBLICA S/N°  S.E.P. B° S.E.P.(FRENTE A LA GLORIETA DEL SEP)
2418,ESCUELA RDO. PADRE GASTON VERGONJEANNE,ESCUELA RDO PADRE GASTON VERGONJEANNE,VILLA ALLENDE,COLON,CÓRDOBA,140197900,LEANDRO N. ALEM 111 VILLA ALLENDE PARQUE VILLA ALLENDE
2419,ESCUELA RECONQUISTA,ESCUELA RECONQUISTA,ALTOS DE CHIPION,SAN JUSTO,CÓRDOBA,140339600,SARMIENTO 543  ALTOS DE CHIPION
2420,ESCUELA RECONQUISTA,ESCUELA RECONQUISTA,VILLA DEL ROSARIO,RIO SEGUNDO,CÓRDOBA,140396100,CORDOBA 851  VILLA DEL ROSARIO
2421,ESCUELA REMEDIOS DE ESCALADA (EX NAC Nº 3),ESCUELA REMEDIOS DE ESCALADA (EX NACIONAL 3),TIO PUJIO,GENERAL SAN MARTIN,CÓRDOBA,140277800,25 DE MAYO 84 NORTE TIO PUJIO
2422,ESCUELA REMEDIOS E. DE SAN MARTIN,ESCUELA REMEDIOS E DE SAN MARTIN,ARIAS,MARCOS JUAREZ,CÓRDOBA,140382400,AV. espa? 779 BELGRANO ARIAS
2423,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,SUCO,RIO CUARTO,CÓRDOBA,140060700,LIBERTAD S/Nº   COLONIA SUCO
2424,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,MALENA,RIO CUARTO,CÓRDOBA,140060900,REMEDIOS ESCALADA DE SAN MARTIN S/N   MALENA
2425,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,COLONIA EL MILAGRO OESTE,SAN JUSTO,CÓRDOBA,140097200,CALLE PUBLICA S/N    COLONIA EL MILAGRO OESTE P/DEVOTO
2426,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,PEDRO E. VIVAS,RIO PRIMERO,CÓRDOBA,140130900,MARTIN MIGUEL DE GUEMES  SUR PEDRO E. VIVAS
2427,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,RIO TERCERO,TERCERO ARRIBA,CÓRDOBA,140161100,25 DE FEBRERO 171 VILLA ZOILA RIO TERCERO
2428,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,CORRAL DE BUSTOS,MARCOS JUAREZ,CÓRDOBA,140266400,ENTRE RIOS 313 CENTRO CORRAL DE BUSTOS
2429,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,CORDOBA,CAPITAL,CÓRDOBA,140269000,ESPORA 2283 ROSEDAL
2430,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,ESCUELA REMEDIOS ESCALADA DE SAN MARTIN,NOETINGER,UNION,CÓRDOBA,140313700,SARMIENTO 152 CENTRO NOETINGER
2431,ESCUELA REMEDIOS ESCALADAS DE SAN MARTIN,ESCUELA REMEDIOS ESCALADAS DE SAN MARTIN,ALMAFUERTE,TERCERO ARRIBA,CÓRDOBA,140305700,CASTELLI 590 MARIANO MORENO ALMAFUERTE
2432,ESCUELA REPUBLICA ARGENTINA,ESCUELA REPUBLICA ARGENTINA,CORDOBA,CAPITAL,CÓRDOBA,140048700,AV RUFINO VARELA ORTIZ 2112 AMEGHINO SUR B° AMEGHINO SUR
2433,ESCUELA REPUBLICA DE BOLIVIA,ESCUELA REPUBLICA DE BOLIVIA,VILLA NUEVA,GENERAL SAN MARTIN,CÓRDOBA,140338200,DEAN FUNES 1250 CENTRO VILLA NUEVA
2434,ESCUELA REPUBLICA DE CHILE,ESCUELA REPUBLICA DE CHILE,LA ARCADIA,SANTA MARIA,CÓRDOBA,140105800,"CALLE PUBLICA S/N    LA ARCADIA - CAMINO A LA CARBONADA, ZONA RURAL DE TOLEDO"
2435,ESCUELA REPUBLICA DE COSTA RICA,ESCUELA REPUBLICA DE COSTA RICA,CORDOBA,CAPITAL,CÓRDOBA,140406500,CERRO AZUL S/N°  25 DE MAYO B° 25 DE MAYO ( RUTA 9 SUR KM 8 1/2)
2436,ESCUELA REPUBLICA DE ITALIA,ESCUELA REPUBLICA DE ITALIA,COLONIA CAROYA,COLON,CÓRDOBA,140356800,CALLE 40 ESQ. JOSE ROMANUTTI   COLONIA CAROYA
2437,ESCUELA REPUBLICA DE LA INDIA,ESCUELA REPUBLICA DE LA INDIA,CORDOBA,CAPITAL,CÓRDOBA,140229600,AVENIDA LAS MALVINAS 5500 LA DOROTEA B° LA DOROTEA (CNO. A MONTECRISTO KM.5)
2438,ESCUELA REPUBLICA DE MEXICO,ESCUELA REPUBLICA DE MEXICO,CORDOBA,CAPITAL,CÓRDOBA,140095800,RIO NEGRO 486 CASEROS
2439,ESCUELA REPUBLICA DE PANAMA,ESCUELA REPUBLICA DE PANAMA,CORDOBA,CAPITAL,CÓRDOBA,140241500,MARIANO MANSILLA 1025 COLINAS DEL CERRO
